rooms,square,floor,payment,address,city,price,date,image,link
3-комнатная квартира,60 м²,2/4 этаж,помесячно,"Ауэзовский р-н, мкр №6, проспект Абая — Саина",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/e3/e3b0d20b-be5e-42d8-bae7-811448fbd41a/1-280x175.jpg,https://krisha.kz//a/show/680973397
1-комнатная квартира,42 м²,10/10 этаж,помесячно,"Медеуский р-н, Джетысуская 4",Алматы,250 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/1e/1e010e86-0e95-4699-9ea0-bfa7947cd55b/1-280x175.jpg,https://krisha.kz//a/show/685925932
2-комнатная квартира,40 м²,3/3 этаж,помесячно,"Алмалинский р-н, Богенбай батыра — Желтоксан",Алматы,450 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/f8/f8edc872-f9c5-4fc0-9dcd-7f12b63c159f/48-280x175.jpg,https://krisha.kz//a/show/677754521
3-комнатная квартира,115 м²,3 этаж,помесячно,"Медеуский р-н, Бекхожина 15А",Алматы,700 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/8a/8a50786d-57fc-46ca-bc10-f0b684b9d992/10-280x175.jpg,https://krisha.kz//a/show/686158539
2-комнатная квартира,85 м²,10/15 этаж,помесячно,"Бостандыкский р-н, мкр Керемет 5 к19",Алматы,450 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/39/3903ee9b-8e7b-4e8c-a7b4-534cf3776c73/1-280x175.jpg,https://krisha.kz//a/show/681574808
2-комнатная квартира,62 м²,4/5 этаж,помесячно,"Бостандыкский р-н, мкр Коктем-1, Маркова 39 — Тимирязева",Алматы,330 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/54/549dc14a-e7dd-4eb7-8138-7ee3c9ed7b08/4-280x175.jpg,https://krisha.kz//a/show/686818830
1-комнатная квартира,40 м²,1/1 этаж,помесячно,"Турксибский р-н, Чкалова 90",Алматы,150 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/40/407e0b55-59c6-425f-99ce-9cf2bba112e8/13-280x175.jpg,https://krisha.kz//a/show/680705717
2-комнатная квартира,60 м²,12 этаж,помесячно,"Бостандыкский р-н, Розыбакиева 336 — Ескараева",Алматы,730 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/05/05cc1db7-f1d5-4b80-b429-dacdbebf3cd9/1-280x175.jpg,https://krisha.kz//a/show/686698290
1-комнатная квартира,20 м²,4/6 этаж,помесячно,"Алмалинский р-н, Сейфулинна 402 — Райымбек",Алматы,162 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/45/4537c11e-cdec-499e-9397-62abe7481908/13-280x175.jpg,https://krisha.kz//a/show/672671725
2-комнатная квартира,63 м²,8/9 этаж,помесячно,"Ауэзовский р-н, мкр Жетысу-1 17 — Бауржана Момышулы - Улугбека",Алматы,420 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/6f/6feb80bb-f8a1-4031-ab58-ee6e2278de9e/1-280x175.jpg,https://krisha.kz//a/show/686562310
2-комнатная квартира,52 м²,4/9 этаж,помесячно,"Алмалинский р-н, Маметова 47 — Абылайхана",Алматы,355 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/aa/aa28f255-56ea-429c-a0bc-3614a9a8e0bb/6-280x175.jpg,https://krisha.kz//a/show/686498746
2-комнатная квартира,80 м²,5/22 этаж,помесячно,"Медеуский р-н, Достык 97",Алматы,550 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/98/980a94ef-16dc-404c-8be6-39182f851ea6/1-280x175.jpg,https://krisha.kz//a/show/686834675
3-комнатная квартира,70 м²,2/5 этаж,помесячно,"Ауэзовский р-н, мкр Аксай-2 31",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/54/54108037-d2c3-4afa-8013-e898c8afebc5/1-280x175.jpg,https://krisha.kz//a/show/686834767
2-комнатная квартира,40 м²,1/4 этаж,помесячно,"Бостандыкский р-н, Навои 318 — Биржана",Алматы,200 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/1c/1c6be618-501a-4fab-b223-8c49b2ddf7eb/1-280x175.jpg,https://krisha.kz//a/show/686357024
2-комнатная квартира,55 м²,2/4 этаж,помесячно,"Наурызбайский р-н, Мкр.Рахат, ул.Культобе уч.№1, уч№24 — Аскарова",Алматы,550 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/c3/c38665ab-d391-4fb1-b83c-ef0e264770ca/1-280x175.jpg,https://krisha.kz//a/show/686625612
4-комнатная квартира,80 м²,3/5 этаж,помесячно,"Алмалинский р-н, Нурмакова 92 — Карасай батыра",Алматы,500 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/80/800d3dea-ea49-4df6-880f-b9a7cc8f2b42/1-280x175.jpg,https://krisha.kz//a/show/682044860
1-комнатная квартира,45 м²,5/12 этаж,помесячно,"Алмалинский р-н, Кабанбай Батыра 223/161 — Байзакова",Алматы,290 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/ab/ab5f0460-3183-476f-86e9-dcccab02e6a5/5-280x175.jpg,https://krisha.kz//a/show/677561329
3-комнатная квартира,58 м²,3/4 этаж,помесячно,"Ауэзовский р-н, мкр №6, Мкр 6 40",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/fa/fa2fe7e7-bd9e-47e6-8a1f-40ae08164473/5-280x175.jpg,https://krisha.kz//a/show/677821240
2-комнатная квартира,78 м²,15/21 этаж,помесячно,"Бостандыкский р-н, Сейфуллина 574/1 к8",Алматы,650 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/2f/2f7eccf4-9a53-4045-921f-2c3a23aa024c/1-280x175.jpg,https://krisha.kz//a/show/686589044
1-комнатная квартира,50 м²,4/9 этаж,помесячно,"Бостандыкский р-н, Розыбакиева 320",Алматы,500 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/4f/4f3424f6-cfd4-485c-979a-9f4502eba42c/16-280x175.jpg,https://krisha.kz//a/show/685991008
1-комнатная квартира,35 м²,4/4 этаж,помесячно,"Алмалинский р-н, проспект Абая 47 — Желтоксан",Алматы,380 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/45/45bc8ef1-389e-45ff-94f2-cefa733f9291/31-280x175.jpg,https://krisha.kz//a/show/670150194
1-комнатная квартира,32 м²,2/2 этаж,помесячно,"Алатауский р-н, мкр Айгерим-2 66 — Шынгыстау",Алматы,90 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/5b/5b8a04f4-d05a-4131-b035-9cef528b4dc2/1-280x175.jpg,https://krisha.kz//a/show/48433374
1-комнатная квартира,45 м²,8/9 этаж,помесячно,"Ауэзовский р-н, мкр Жетысу-2 5",Алматы,280 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/b4/b4db5a6a-4383-41b0-90cd-87144cf0b3df/6-280x175.jpg,https://krisha.kz//a/show/686802433
6-комнатная квартира,400 м²,6/6 этаж,помесячно,"Бостандыкский р-н, мкр Баганашыл, Рахмадиева 12",Алматы,2 000 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/64/64afa9d6-edee-4164-997c-5aa4a841ce70/60-280x175.jpg,https://krisha.kz//a/show/683927275
1-комнатная квартира,43 м²,8/16 этаж,помесячно,"Бостандыкский р-н, Тлендиева 133 — Сатпаева",Алматы,350 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/36/369f0c78-3f71-4a6f-b72b-fff965d38d21/1-280x175.jpg,https://krisha.kz//a/show/685770601
3-комнатная квартира,62 м²,1/4 этаж,помесячно,"Бостандыкский р-н, Жандарбекова — Джандосова угол Жарокова",Алматы,320 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/ed/eddeefa3-de0a-4268-9ca8-af362ea0c6b9/1-280x175.jpg,https://krisha.kz//a/show/686352733
1-комнатная квартира,30 м²,9/12 этаж,помесячно,Шевченко 85,Алматы,315 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/7a/7a87136c-cc9a-4a9f-bfec-31544301b78a/1-280x175.jpg,https://krisha.kz//a/show/676225227
